status	site	path	destination	title	note
COVERED	content	/about-us/	/about	About Us	(static route exists)
COVERED	content	/about-vedic-astrology/	/knowledge/astrology	About Vedic Astrology	(static route exists)
COVERED	content	/blogs/	/blog	Blogs	(static route exists)
COVERED	content	/blue-sapphire/	/knowledge/gem-qualities/blue-sapphire	Blue Sapphire Qualities	(gem-qualities guide)
COVERED	content	/budh-shanti-yagya-by-beej-mantra/	/vedic-yagyas/budh-shanti-yagya-by-beej-mantra	Budh Shanti Yagya by Beej Mantra	(migrated yagya product)
COVERED	content	/budh-shanti-yagya/	/vedic-yagyas/budh-shanti-yagya	Budh Shanti Yagya	(migrated yagya product)
COVERED	content	/buy-online-blue-sapphire-gemstone/	/knowledge/gem-qualities/blue-sapphire	Blue Sapphire Gemstone Qualities Available in the market	(static route exists)
COVERED	content	/buy-online-catseye-gemstone/	/knowledge/gem-qualities/catseye	BUY ONLINE CATSEYE GEMSTONE	(static route exists)
COVERED	content	/buy-online-emerald-gemstone/	/knowledge/gem-qualities/emerald	Buy Online Emerald Gemstone	(static route exists)
COVERED	content	/buy-online-ruby-gemstone/	/knowledge/gem-qualities/ruby	Buy Online Ruby Gemstone	(static route exists)
COVERED	content	/buy-online-rudraksha/	/shop/rudraksha	Buy Online Rudraksha	(static route exists)
COVERED	content	/buy-online-yellow-sapphire-gemstone/	/knowledge/gem-qualities/yellow-sapphire	Buy online Yellow Sapphire Gemstone	(static route exists)
COVERED	content	/catseye-gemstone/	/knowledge/gem-qualities/catseye	Catseye Qualities	(gem-qualities guide)
COVERED	content	/chandra-shanti-yagya-2/	/vedic-yagyas/chandra-shanti-yagya	Chandra Shanti Yagya payment page	(yagya payment/variant -> migrated yagya)
COVERED	content	/chandra-shanti-yagya-with-beej-mantra/	/vedic-yagyas/chandra-shanti-yagya-with-beej-mantra	Chandra Shanti Yagya with Beej Mantra	(migrated yagya product)
COVERED	content	/chandra-shanti-yagya/	/vedic-yagyas/chandra-shanti-yagya	Chandra Shanti Yagya	(migrated yagya product)
COVERED	content	/contact-us/	/contact	contact us	(static route exists)
COVERED	content	/durga-saptashati-yagya-payments-page/	/vedic-yagyas/durga-saptashati-yagya	Durga Saptashati Yagya Payments Page	(yagya payment/variant -> migrated yagya)
COVERED	content	/durga-saptashati-yagya/	/vedic-yagyas/durga-saptashati-yagya	Durga Saptashati Yagya	(migrated yagya product)
COVERED	content	/eighteen-18-mukhi-rudraksha/	/knowledge/rudraksha/18-mukhi	EIGHTEEN (18) MUKHI RUDRAKSHA	(rudraksha mukhi guide)
COVERED	content	/emerald-gemstone/	/knowledge/gem-qualities/emerald	Emerald Qualities	(gem-qualities guide)
COVERED	content	/energized-gems/	/knowledge/energized-gems	Energized Gems	(static route exists)
COVERED	content	/events-and-seminars/	/events-and-seminars	Events and Seminars	(static route exists)
COVERED	content	/feedback/	/feedback	Feedback	(static route exists)
COVERED	content	/fifteen-15-mukhi-rudraksha/	/knowledge/rudraksha/15-mukhi	FIFTEEN (15) MUKHI RUDRAKSHA	(rudraksha mukhi guide)
COVERED	content	/gems-care/	/knowledge/gems-care	Care of Gemstones	(static route exists)
COVERED	content	/gems-recommendations/	/tools/recommendation	Online Gemstone Recommendations	(static route exists)
COVERED	content	/gemstone-recommendation-by-date-of-birth/	/tools/recommendation	Gemstone Recommendation By Date of Birth	(static route exists)
COVERED	content	/gemstone-recommendation-date-of-birth/	/tools/recommendation	Gemstone Recommendation Date of Birth	(static route exists)
COVERED	content	/gemstone-recommendation/	/tools/recommendation	Gemstone Recommendation	(static route exists)
COVERED	content	/gemstone-recommendations-pure-vedic-science/	/tools/recommendation	Gemstone Recommendations Pure Vedic Science	(static route exists)
COVERED	content	/guru-shanti-yagya-by-beej-mantra-payment-page/	/vedic-yagyas/guru-shanti-yagya-by-beej-mantra	Guru Shanti Yagya by beej mantra payment page	(yagya payment/variant -> migrated yagya)
COVERED	content	/guru-shanti-yagya-by-beej-mantra/	/vedic-yagyas/guru-shanti-yagya-by-beej-mantra	Guru Shanti Yagya by Beej Mantra	(migrated yagya product)
COVERED	content	/hessonite-qualites/	/knowledge/gem-qualities/hessonite	Hessonite/Gomed Gemstone Qualites	(gem-qualities guide)
COVERED	content	/hessonite-qualities/	/knowledge/gem-qualities/hessonite	Hessonite Qualities	(gem-qualities guide)
COVERED	content	/homenew/	/	HomeNew	(static route exists)
COVERED	content	/how-to-measure-your-finger-for-ring/	/tools/ring-size-guide	How to Measure Your Finger For Ring	(static route exists)
COVERED	content	/ketu-shanti-yagya-2/	/vedic-yagyas/ketu-shanti-yagya	Ketu Shanti Yagya	(yagya payment/variant -> migrated yagya)
COVERED	content	/ketu-shanti-yagya-beej-mantra/	/vedic-yagyas/ketu-shanti-yagya-beej-mantra	Ketu Shanti Yagya ( Beej Mantra)	(migrated yagya product)
COVERED	content	/ketu-shanti-yagya/	/vedic-yagyas/ketu-shanti-yagya	Ketu Shanti Yagya	(migrated yagya product)
COVERED	content	/know-your-vedic-gems/	/consultation	Book Consultation	(static route exists)
COVERED	content	/lab-certificate/	/lab-certificate	Certificates	(static route exists)
COVERED	content	/live-horoscope-analysis/	/consultation	Live Horoscope Analysis	(static route exists)
COVERED	content	/livepuja/	/vedic-yagyas-service	Live puja	(static route exists)
COVERED	content	/mahamritunjay-yagya-pooja-31000-jaap/	/vedic-yagyas/mahamritunjay-yagya-pooja-31000-jaap	MahaMritunjay Yagya/Pooja (31000 Jaap)	(migrated yagya product)
COVERED	content	/mahamritunjay-yagya-pooja-51000-jaap/	/vedic-yagyas/mahamritunjay-yagya-pooja-51000-jaap	MahaMritunjay Yagya/Pooja (51000 Jaap)	(migrated yagya product)
COVERED	content	/mahamritunjay-yagya-pooja/	/vedic-yagyas/mahamritunjay-yagya-pooja	MahaMritunjay Yagya/Pooja	(migrated yagya product)
COVERED	content	/mahamritunjay-yagya-pooja11000-jaap/	/vedic-yagyas/mahamritunjay-yagya-pooja11000-jaap	MahaMritunjay Yagya/Pooja(11000 Jaap)	(migrated yagya product)
COVERED	content	/mangal-shanti-yagya-2/	/vedic-yagyas/mangal-shanti-yagya	Mangal Shanti Yagya Payment page	(yagya payment/variant -> migrated yagya)
COVERED	content	/mangal-shanti-yagya-beej-mantra-payment-page/	/vedic-yagyas/mangal-shanti-yagya-beej-mantra	Mangal Shanti Yagya (Beej Mantra) Payment page	(yagya payment/variant -> migrated yagya)
COVERED	content	/mangal-shanti-yagya-beej-mantra/	/vedic-yagyas/mangal-shanti-yagya-beej-mantra	Mangal Shanti Yagya (Beej Mantra)	(migrated yagya product)
COVERED	content	/mangal-shanti-yagya/	/vedic-yagyas/mangal-shanti-yagya	Mangal Shanti Yagya	(migrated yagya product)
COVERED	content	/meaning-benefits-and-how-to-wear-a-2-mukhi-rudraksha/	/knowledge/rudraksha/2-mukhi	Meaning, Benefits, and How to Wear a 2 Mukhi Rudraksha	(rudraksha mukhi guide)
COVERED	content	/new-home/	/	New Home	(static route exists)
COVERED	content	/nine-vedic-gems/	/knowledge/gemstones	Nine Vedic Gems As Per Vedic Astrology	(static route exists)
COVERED	content	/nineteen-19-mukhi-rudraksha/	/knowledge/rudraksha/19-mukhi	NINETEEN (19) MUKHI RUDRAKSHA	(rudraksha mukhi guide)
COVERED	content	/one-1mukhi-rudraksha/	/knowledge/rudraksha/1-mukhi	One (1)Mukhi Rudraksha	(rudraksha mukhi guide)
COVERED	content	/online-rudraksha-recommendation/	/tools/recommendation	Online Rudraksha Recommendation	(static route exists)
COVERED	content	/opal-qualities/	/knowledge/gem-qualities/opal	Opal Qualities	(gem-qualities guide)
COVERED	content	/pendents/	/configure	ASTRO PENDENT DESIGNS	(static route exists)
COVERED	content	/privacy-policy/	/policies/privacy	Privacy policy	(static route exists)
COVERED	content	/rahu-shanti-yagya-beej-mantra-payment-page/	/vedic-yagyas/rahu-shanti-yagya-beej-mantra	Rahu Shanti Yagya (Beej Mantra) Payment page	(yagya payment/variant -> migrated yagya)
COVERED	content	/rahu-shanti-yagya-beej-mantra/	/vedic-yagyas/rahu-shanti-yagya-beej-mantra	Rahu Shanti Yagya beej mantra	(migrated yagya product)
COVERED	content	/rahu-shanti-yagya-payment-page/	/vedic-yagyas/rahu-shanti-yagya	Rahu Shanti Yagya Payment page	(yagya payment/variant -> migrated yagya)
COVERED	content	/rahu-shanti-yagya/	/vedic-yagyas/rahu-shanti-yagya	Rahu Shanti Yagya	(migrated yagya product)
COVERED	content	/red-coral-qualities/	/knowledge/gem-qualities/red-coral	Red Coral Qualities	(gem-qualities guide)
COVERED	content	/returns-policy/	/policies/returns	Return & Refund Policy	(static route exists)
COVERED	content	/rings-design/	/configure	ASTRO RINGS DESIGN	(static route exists)
COVERED	content	/ruby-qualities/	/knowledge/gem-qualities/ruby	Ruby Qualities	(gem-qualities guide)
COVERED	content	/rudraksha-designs/	/configure	RUDRAKSHA DESIGNS	(static route exists)
COVERED	content	/rudraksha-qualities/	/knowledge/rudraksha-qualities	Rudraksha Qualities	(static route exists)
COVERED	content	/seventeen-mukhi-rudraksha/	/knowledge/rudraksha/17-mukhi	Seventeen Mukhi Rudraksha	(rudraksha mukhi guide)
COVERED	content	/shani-shanti-yagya-2/	/vedic-yagyas/shani-shanti-yagya	Shani Shanti Yagya Payment Page	(yagya payment/variant -> migrated yagya)
COVERED	content	/shani-shanti-yagya-by-beej-mantra-payment-page/	/vedic-yagyas/shani-shanti-yagya-by-beej-mantra	Shani Shanti Yagya by Beej mantra Payment page	(yagya payment/variant -> migrated yagya)
COVERED	content	/shani-shanti-yagya-by-beej-mantra/	/vedic-yagyas/shani-shanti-yagya-by-beej-mantra	Shani Shanti Yagya by Beej Mantra	(migrated yagya product)
COVERED	content	/shani-shanti-yagya/	/vedic-yagyas/shani-shanti-yagya	Shani Shanti Yagya	(migrated yagya product)
COVERED	content	/shipping-policy/	/policies/shipping	Shipping Policy	(static route exists)
COVERED	content	/shukra-shanti-yagya-2/	/vedic-yagyas/shukra-shanti-yagya-2	Shukra Shanti Yagya	(migrated yagya product)
COVERED	content	/shukra-shanti-yagya-by-beej-mantra-payment-page/	/vedic-yagyas/shukra-shanti-yagya-by-beej-mantra	Shukra Shanti Yagya by Beej Mantra Payment page	(yagya payment/variant -> migrated yagya)
COVERED	content	/shukra-shanti-yagya-by-beej-mantra/	/vedic-yagyas/shukra-shanti-yagya-by-beej-mantra	Shukra Shanti Yagya by Beej Mantra	(migrated yagya product)
COVERED	content	/sixteen-mukhi-rudraksha/	/knowledge/rudraksha/16-mukhi	SIXTEEN MUKHI RUDRAKSHA	(rudraksha mukhi guide)
COVERED	content	/surya-shanti-yagya-by-beej-mantra-payment-page/	/vedic-yagyas/surya-shanti-yagya-by-beej-mantra	Surya Shanti Yagya by Beej Mantra Payment Page	(yagya payment/variant -> migrated yagya)
COVERED	content	/surya-shanti-yagya-by-beej-mantra/	/vedic-yagyas/surya-shanti-yagya-by-beej-mantra	Surya Shanti Yagya by Beej Mantra	(migrated yagya product)
COVERED	content	/surya-shanti-yagya-payment-page/	/vedic-yagyas/surya-shanti-yagya	Surya Shanti Yagya Payment Page	(yagya payment/variant -> migrated yagya)
COVERED	content	/surya-shanti-yagya/	/vedic-yagyas/surya-shanti-yagya	Surya Shanti Yagya	(migrated yagya product)
COVERED	content	/terms-and-conditions/	/policies/terms	Terms and Conditions	(static route exists)
COVERED	content	/testimonials/	/testimonials	Testimonials	(static route exists)
COVERED	content	/treatments-and-enhancements-gemstones/	/knowledge/treatments	Treatments	(static route exists)
COVERED	content	/twenty-20-mukhi-rudraksha/	/knowledge/rudraksha/20-mukhi	TWENTY (20) MUKHI RUDRAKSHA	(rudraksha mukhi guide)
COVERED	content	/twenty-one-mukhi-rudraksha/	/knowledge/rudraksha/21-mukhi	Twenty one Mukhi Rudraksha	(rudraksha mukhi guide)
COVERED	content	/two-2-mukhi-rudraksha/	/knowledge/rudraksha/2-mukhi	Two (2) Mukhi Rudraksha	(rudraksha mukhi guide)
COVERED	content	/vedic-guru-shanti-yagya/	/vedic-yagyas/vedic-guru-shanti-yagya	Vedic Guru Shanti Yagya	(migrated yagya product)
COVERED	content	/vedic-rudrabhishek-paymentpage/	/vedic-yagyas/vedic-rudrabhishek	Vedic Rudrabhishek paymentpage	(yagya payment/variant -> migrated yagya)
COVERED	content	/vedic-rudrabhishek/	/vedic-yagyas/vedic-rudrabhishek	Vedic Rudrabhishek	(migrated yagya product)
COVERED	content	/vedic-yagyas-service/	/vedic-yagyas-service	Vedic Pooja/Yagya Services	(static route exists)
COVERED	content	/video/	/videos	Video	(static route exists)
COVERED	content	/videos-testimonials/	/testimonials	Video's Testimonials	(static route exists)
COVERED	content	/welcome-to-pure-vedic-gems/	/	WELCOME TO PURE VEDIC GEMS	(static route exists)
COVERED	content	/white-sapphire-gemstone-qualities/	/knowledge/gem-qualities/white-sapphire	White Sapphire Qualities	(gem-qualities guide)
COVERED	content	/yellow-sapphire/	/knowledge/gem-qualities/yellow-sapphire	Yellow Sapphire Qualities	(gem-qualities guide)
COVERED	woo	/about-us/	/about	ABOUT US	(static route exists)
COVERED	woo	/about-vedic-astrology/	/knowledge/astrology	ABOUT VEDIC ASTROLOGY	(static route exists)
COVERED	woo	/cart/	/cart	Cart	(static route exists)
COVERED	woo	/checkout/	/checkout	Checkout	(static route exists)
COVERED	woo	/gems-recommendations/	/tools/recommendation	Gems-Recommendations	(static route exists)
COVERED	woo	/home/	/	Home	(static route exists)
COVERED	woo	/my-account/	/account	My Account	(static route exists)
COVERED	woo	/nine-vedic-gems/	/knowledge/gemstones	NINE VEDIC GEMS	(static route exists)
COVERED	woo	/return-refund-policy/	/policies/returns	Return & Refund Policy	(static route exists)
COVERED	woo	/rudrakshas/	/shop/rudraksha	Rudraksha	(static route exists)
COVERED	woo	/shop/	/shop	Shop	(static route exists)
COVERED	woo	/wishlist/	/account/saved	Wishlist	(static route exists)
NOT-MIGRATED	content	/astrological-blue-sapphire-gemstone-in-philippines/	-	Astrological Blue Sapphire Gemstone in Philippines	(geo-targeted SEO landing page (no equivalent built))
NOT-MIGRATED	content	/astrological-catseye-gemstone-in-switzerland/	-	Astrological Catseye Gemstone in Switzerland	(geo-targeted SEO landing page (no equivalent built))
NOT-MIGRATED	content	/astrological-emerald-gemstone-in-philippines/	-	Astrological Emerald Gemstone in Philippines	(geo-targeted SEO landing page (no equivalent built))
NOT-MIGRATED	content	/astrological-gemstone-recommendation-for-success-in-various-areas-of-life/	-	Astrological Gemstone Recommendation for Success in Various Areas of Life	(editorial/SEO content article not migrated (candidate for blog/knowledge))
